N° RPPS,Nom,Prénom,Spécialité,Date accréditation,OA,Nom équipe,Département,FINESS,Statut
10001578250,ABOU EL HASSAN,Najib,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,91,910805357,Libéral et salarié
10005191316,ABOU HANNA,Halim,Chirurgie thoracique et cardio-vasculaire ;,24/09/2020,SFCTCV,,21,210987558,Salarié
10002667904,ABOU KHALIL,Nourallah,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2020,GYNERISQ,GYNERISQ-16,56,560005746,Libéral et salarié
10100108769,ABOU TAAM,Salam,Chirurgie thoracique et cardio-vasculaire ;,17/12/2020,SFCTCV,,91,910803543,Libéral
10002090792,ABOU-MRAD-FRICQUEGNON,Adel,Chirurgie viscérale et digestive ;,23/09/2021,FCVD,,45,450000088,Libéral et salarié
10003927042,ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique ;",26/11/2020,PLASTIRISQ,,75,750300840,Libéral
10003927042,ABOUDARAM,Thierry,"Chirurgie plastique, reconstructrice et esthétique ;",26/11/2020,PLASTIRISQ,,75,950300277,Libéral
10100451359,ABOULALA,El mostafa,Chirurgie orthopédique et traumatologie ;,12/09/2024,ORTHORISQ,,77,770110070,Libéral
10003221487,ABOUT ,Monique,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",01/07/2021,GYNERISQ,,34,340009885,Libéral
10003732863,ABRAHAM,Steve,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",18/02/2021,GYNERISQ,,94,940300270,Libéral
10003289013,ABRAR,Diba,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",21/12/2023,GYNERISQ,,06,060780756,Libéral
10100101376,ABRIOU,Caroline,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,03/02/2022,CFAR,CFAR-58,76,760780205,Libéral
10100101376,ABRIOU,Caroline,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,03/02/2022,CFAR,CFAR-58,76,760921809,Libéral
10002815271,ABRUZZESE,Ludovic,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,21/12/2023,CFAR,,49,490007929,Libéral
10003374229,ABS,Richard,"Chirurgie plastique, reconstructrice et esthétique ;",23/06/2022,PLASTIRISQ,,13,130784903,Libéral
10003082772,ABU AL ZAHAB,Marwan,Chirurgie orthopédique et traumatologie ;,28/04/2022,ORTHORISQ,,73,730000262,Salarié
10001954410,ABU AMARA,Saad,Chirurgie infantile ;,15/06/2023,OA CHIRPED,,76,760780627,Libéral
10003105458,ACEVEDO GONZALEZ,Guillermo,Neurochirurgie ;,23/11/2023,Collège de Neurochirurgie,,74,740785357,Libéral
10002807112,ACHARIAN,Victor,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,,64,640780946,Libéral
10100193332,ACHIM,Irina stefania,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",14/09/2023,GYNERISQ,,79,790009948,Libéral
10003926234,ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique ;",18/02/2021,PLASTIRISQ,,94,100000082,Libéral et salarié
10003926234,ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique ;",18/02/2021,PLASTIRISQ,,94,940813033,Libéral et salarié
10003926234,ACHOUCHE,Josué,"Chirurgie plastique, reconstructrice et esthétique ;",18/02/2021,PLASTIRISQ,,94,950000331,Libéral et salarié
10001437408,ACHOUR,Mohand,Chirurgie viscérale et digestive ;,25/11/2021,FCVD,,94,930300298,Libéral
10001437408,ACHOUR,Mohand,Chirurgie viscérale et digestive ;,25/11/2021,FCVD,,94,930300637,Libéral
10100181444,ACHOURI,Abdellaziz,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",26/11/2020,GYNERISQ,,31,310000179,Libéral
10100181444,ACHOURI,Abdellaziz,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",26/11/2020,GYNERISQ,,31,310780382,Libéral
10000544386,ACHRAFI,Homayoun,Chirurgie viscérale et digestive ;,25/11/2021,FCVD,,75,750300154,Libéral
10000544386,ACHRAFI,Homayoun,Chirurgie viscérale et digestive ;,25/11/2021,FCVD,,75,930300025,Libéral
10001804466,ACOUME,Toufic,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",16/12/2021,GYNERISQ,,80,800009920,Libéral
10001971927,ADAM,Jacques-marie,Chirurgie orthopédique et traumatologie ;,30/03/2023,ORTHORISQ,,76,760780627,Libéral
10002855251,ADAM,Philippe,Radiologie et Imagerie médicale;,23/06/2022,ODPC-RIM,ODPC-RIM-53,31,310019492,Libéral
10002855251,ADAM,Philippe,Radiologie et Imagerie médicale;,23/06/2022,ODPC-RIM,ODPC-RIM-53,31,310780150,Libéral
10100694503,ADAMCZEWSKI,Benjamin,Chirurgie orthopédique et traumatologie ;,28/03/2024,ORTHORISQ,,31,310000310,Libéral
10100694503,ADAMCZEWSKI,Benjamin,Chirurgie orthopédique et traumatologie ;,28/03/2024,ORTHORISQ,,31,310781505,Libéral
10005177216,ADAMCZYK,Sébastien,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,19/10/2023,CFAR,CFAR-8,62,620101501,Libéral
10100885549,ADEM,Marie-rose,Radiologie et Imagerie médicale;,16/02/2023,ODPC-RIM,ODPC-RIM-20,75,750000523,Salarié
10100167005,ADES,Abdelghani,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,23/06/2022,CFAR,CFAR-64,75,750150104,Salarié
10100955979,ADJADJ,Lucille,"Chirurgie plastique, reconstructrice et esthétique ;",19/01/2023,PLASTIRISQ,,95,950807982,Libéral
10001913705,ADRIAN,Denis,Chirurgie orthopédique et traumatologie ;,21/10/2021,ORTHORISQ,,76,760780510,Libéral
10100762086,ADZEME AYISSI,Dany bertrand,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,14/12/2023,CFAR,CFAR-101,50,500000146,Libéral
10100971083,AFATHI,Mehdi,Neurochirurgie ;,14/12/2023,Collège de Neurochirurgie,,69,010780195,Libéral
10100971083,AFATHI,Mehdi,Neurochirurgie ;,14/12/2023,Collège de Neurochirurgie,,69,690041124,Libéral
10100971083,AFATHI,Mehdi,Neurochirurgie ;,14/12/2023,Collège de Neurochirurgie,,69,690780259,Libéral
10003368130,AFFRIAT,Charlie,Gastro-entérologie (activité interventionnelle) ;,28/03/2024,CEFA-HGE,CEFA-HGE-8,13,130043664,Libéral
10003368130,AFFRIAT,Charlie,Gastro-entérologie (activité interventionnelle) ;,28/03/2024,CEFA-HGE,CEFA-HGE-8,13,130785678,Libéral
10004032826,AFIF,Ahmed,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",15/02/2024,GYNERISQ,,49,490002037,Libéral
10003928602,AFKHAMI AGHDA,Sohi,"Chirurgie plastique, reconstructrice et esthétique ;",18/07/2024,PLASTIRISQ,,22,220022800,Libéral
10001066363,AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,75,750000978,Libéral et salarié
10001066363,AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,75,750100232,Libéral et salarié
10001066363,AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,75,750300915,Libéral et salarié
10001066363,AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,75,920029550,Libéral et salarié
10001066363,AFLAK,Nizar,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,75,920100039,Libéral et salarié
10100282663,AFONSO,David,Chirurgie orthopédique et traumatologie ;,14/12/2023,ORTHORISQ,,13,130785652,Libéral et salarié
10100282663,AFONSO,David,Chirurgie orthopédique et traumatologie ;,14/12/2023,ORTHORISQ,,13,130804297,Libéral et salarié
10000479203,AFRIAT,Raymond,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,,75,750000523,Libéral et salarié
10000479203,AFRIAT,Raymond,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,,75,750301137,Libéral et salarié
10001741981,AFSHARPOUR,Mohsen,Chirurgie orthopédique et traumatologie ;,22/09/2022,ORTHORISQ,,08,080000110,Libéral et salarié
10001741981,AFSHARPOUR,Mohsen,Chirurgie orthopédique et traumatologie ;,22/09/2022,ORTHORISQ,,08,080010473,Libéral et salarié
10100679736,AGAR,Nicolas,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",30/03/2023,GYNERISQ,,74,740790381,Libéral et salarié
10004393756,AGAVRILOAIA,Mihaela-luiza,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,18/07/2024,CFAR,CFAR-124,42,420010050,Salarié
10100755189,AGBEKPONOU,Kodjovi,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",26/11/2020,GYNERISQ,,95,950300277,Libéral
10002259025,AGBONON,Leon,Chirurgie orthopédique et traumatologie ;,03/02/2022,ORTHORISQ,,27,020000162,Libéral
10002259025,AGBONON,Leon,Chirurgie orthopédique et traumatologie ;,03/02/2022,ORTHORISQ,,27,270000326,Libéral
10002907417,AGHNATIOS,Pierre,Chirurgie viscérale et digestive ;,11/05/2023,FCVD,,81,810000380,Salarié
10100968097,AGIRI,Celine,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",21/12/2023,GYNERISQ,,974,970421038,Salarié
10000799931,AGLAN,Azza,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",16/12/2021,GYNERISQ,,78,780018727,Libéral
10002186152,AGNANI,Alexandre,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,18/07/2024,CFAR,CFAR-28,71,710000274,Libéral
10002312683,AGNEL,David,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,17/12/2020,CFAR,CFAR-40,13,130785652,Libéral
10101110392,AGNERAY,Helene,Chirurgie orthopédique et traumatologie ;,23/11/2023,ORTHORISQ,,13,130000813,Libéral
10101110392,AGNERAY,Helene,Chirurgie orthopédique et traumatologie ;,23/11/2023,ORTHORISQ,,13,830000196,Libéral
10003419271,AGOSTINI,Aubert,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",22/09/2022,GYNERISQ,,13,130783236,Libéral et salarié
10100300473,AGOSTINI,Julie,Chirurgie viscérale et digestive ;,17/12/2020,FCVD,,35,350000121,Libéral
10100877447,AGOUT,Charles,Chirurgie orthopédique et traumatologie ;,23/09/2021,ORTHORISQ,,33,330780040,Libéral
10100877447,AGOUT,Charles,Chirurgie orthopédique et traumatologie ;,23/09/2021,ORTHORISQ,,33,330780479,Libéral
10003421038,AGUIRRE,Luc,Cardiologie (activité interventionnelle) ;,27/02/2019,Cardiorisq - ODP2C,,44,440041572,Libéral
10003421038,AGUIRRE,Luc,Cardiologie (activité interventionnelle) ;,27/02/2019,Cardiorisq - ODP2C,,44,440041580,Libéral
10002393238,AHLSCHWEDE,Erich,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/03/2024,CFAR,CFAR-27,68,680000627,Salarié
10101425352,AHMAD,Nizar,Chirurgie orthopédique et traumatologie ;,29/12/2021,ORTHORISQ,,91,910000298,Libéral et salarié
10101425352,AHMAD,Nizar,Chirurgie orthopédique et traumatologie ;,29/12/2021,ORTHORISQ,,91,910000306,Libéral et salarié
10005157168,AHMADI,Sami,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",28/12/2022,GYNERISQ,,79,790009948,Libéral
10101194107,AHMED,Omar,Chirurgie viscérale et digestive ;,28/03/2024,FCVD,,78,780300422,Libéral
10002295060,AHMEIDI,Abesse,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,22/09/2022,CFAR,CFAR-70,59,590000188,Salarié
10003768909,AIHONNOU,Thiery,Chirurgie orthopédique et traumatologie ;,29/12/2020,ORTHORISQ,,80,800009920,Libéral
10003791869,AIRAUDI,Stephane,Chirurgie orthopédique et traumatologie ;,01/07/2021,ORTHORISQ,,13,130044753,Libéral
10101142973,AISENE,Benjamin,Chirurgie orthopédique et traumatologie ;,30/03/2023,ORTHORISQ,,67,670799667,Libéral
10004607007,AISSAOUI,Fatiha,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",28/12/2022,GYNERISQ,,93,342303914,Libéral
10005185664,AISSOU,Mourad,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,03/02/2022,CFAR,CFAR-46,94,940300031,Libéral
10002304227,AIT ALI,Mohamed,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,23/11/2023,CFAR,CFAR-95,59,590000592,Salarié
10100792174,AIT ALI,Tassadit,Radiologie et Imagerie médicale;,12/09/2024,ODPC-RIM,ODPC-RIM-22,44,440033819,Libéral
10100479426,AIT HAMOU,Nora,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,23/06/2022,CFAR,CFAR-64,75,750150104,Salarié
10100033991,AIT MENGUELLET,Sonia,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",17/12/2020,GYNERISQ,,13,130008253,Libéral
10100289155,AIT-MANSOUR,Aida,Oto-rhino-laryngologie ; Chirurgie de la face et du cou ;,16/02/2023,ORL-DPC,ORL-DPC-02,93,750300097,Libéral et salarié
10101456324,AJILI,Zied,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/03/2024,CFAR,CFAR-110,95,950807982,Libéral
10100292589,AJOB,Gharib,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,15/06/2023,CFAR,CFAR-86,67,670000025,Salarié
10001576718,AJOUY,Kamel,Chirurgie orthopédique et traumatologie ;,18/07/2024,ORTHORISQ,,44,440000412,Libéral
10101395027,AKESSOUL,Philippe,Radiologie et Imagerie médicale;,19/10/2023,ODPC-RIM,,30,300782117,Salarié
10100933794,AKL,Pia,Radiologie et Imagerie médicale;,31/03/2022,ODPC-RIM,ODPC-RIM-48,69,690007539,Salarié
10100822054,AKNIN,Sylvain,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/03/2024,CFAR,CFAR-118,69,690780663,Libéral
10000791805,AKRICHE,Claude,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,,78,780000618,Libéral
10102313573,AL AHMAR,Marc,Radiologie et Imagerie médicale;,15/06/2023,ODPC-RIM,ODPC-RIM-72,75,750803447,Salarié
10100139798,AL ASSAF,Adam,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",03/02/2022,GYNERISQ,,07,070780424,Libéral
10100314532,AL ASSAF,Ihab,Chirurgie orthopédique et traumatologie ;,17/12/2020,ORTHORISQ,,03,030785430,Libéral
10005186910,AL ASSAF,Wared,Oto-rhino-laryngologie ; Chirurgie de la face et du cou ;,14/09/2023,ORL-DPC,ORL-DPC-03,974,970404836,Libéral
10100561843,AL HINDI,Raghid,Chirurgie viscérale et digestive ;,03/02/2022,FCVD,,77,770790707,Libéral et salarié
10100561843,AL HINDI,Raghid,Chirurgie viscérale et digestive ;,03/02/2022,FCVD,,77,770811289,Libéral et salarié
10100561843,AL HINDI,Raghid,Chirurgie viscérale et digestive ;,03/02/2022,FCVD,,77,940006679,Libéral et salarié
10100874014,AL KHOURY SALEM,Hassan,Chirurgie infantile ;,23/06/2022,OA CHIRPED,,42,420784878,Salarié
10100691152,AL LAZKANI,Ali,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,20/07/2023,CFAR,,75,750300881,Libéral
10001800621,AL NASSER,Bassam,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,15/07/2021,CFAR,,60,600110175,Libéral
10100395929,AL SAMMAN ZOUAGHI,Sophie,Chirurgie viscérale et digestive ;,17/12/2020,FCVD,,69,690793468,Libéral
10100168029,AL TABAA,Khaled,Oto-rhino-laryngologie ; Chirurgie de la face et du cou ;,15/02/2024,ORL-DPC,,95,950000364,Libéral et salarié
10001504793,ALA EDDINE,Tarek,Chirurgie orthopédique et traumatologie ;,14/09/2023,ORTHORISQ,,75,940300064,Libéral
10108059329,ALAM,Amine antonin,Gastro-entérologie (activité interventionnelle) ;,12/09/2024,CEFA-HGE,CEFA-HGE-49,75,750000523,Salarié
10001468247,ALAMDARI,Alireza,"Chirurgie plastique, reconstructrice et esthétique ;",21/10/2021,PLASTIRISQ,,94,940300031,Libéral
10001468247,ALAMDARI,Alireza,"Chirurgie plastique, reconstructrice et esthétique ;",21/10/2021,PLASTIRISQ,,94,940300379,Libéral
10100710499,ALAMI-CHENTOUFI,Youssef,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,13/10/2022,CFAR,,18,180006520,Libéral
10004878533,ALAMI-LAQBAQBI,Fatima,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,12/09/2024,CFAR,CFAR-29,40,400011177,Salarié
10002084993,ALAMOWITCH,Maxime boris,Chirurgie viscérale et digestive ;,21/10/2021,FCVD,,50,500002357,Libéral
10003752622,ALAODA,Taha,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,23/11/2023,CFAR,CFAR-93,95,950300202,Libéral
10003222634,ALAUZEN,Michel,Chirurgie thoracique et cardio-vasculaire ;,23/09/2021,SFCTCV,SFCTCV-19,34,340015502,Libéral
10003222634,ALAUZEN,Michel,Chirurgie thoracique et cardio-vasculaire ;,23/09/2021,SFCTCV,SFCTCV-19,34,340780667,Libéral
10002293032,ALAWOE,Komlan-jacques,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,12/09/2024,CFAR,CFAR-122,34,340780675,Libéral
10002293032,ALAWOE,Komlan-jacques,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,12/09/2024,CFAR,CFAR-122,34,340780683,Libéral
10101706215,ALAYA,Sami,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,21/07/2022,CFAR,CFAR-69,13,130782634,Salarié
10005176465,ALBERT,Andra,Neurochirurgie ;,17/12/2020,Collège de Neurochirurgie,,63,630791382,Libéral
10002776424,ALBERT,Eric,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,01/07/2021,CFAR,CFAR-33,33,330781204,Libéral
10003776191,ALBERT,Franck,Cardiologie (activité interventionnelle) ;,12/09/2024,Cardiorisq - ODP2C,,28,280000043,Salarié
10100186617,ALBERT,Thomas,Chirurgie urologique ;,27/05/2021,AFU,AFU-25,83,830100616,Libéral et salarié
10003254876,ALBERTI,Marie,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",14/09/2023,GYNERISQ,,31,310026927,Libéral
10003937348,ALBERTIN,Jerome,Chirurgie vasculaire ;,15/07/2021,VASCURISQ,,83,830100392,Libéral
10100088235,ALBERTINI,Serge,Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;,28/12/2022,CFAR,CFAR-71,38,380785956,Libéral
10003935607,ALBY,Jean dominique,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",15/12/2022,GYNERISQ,,06,060020153,Libéral
10003880209,ALEKSIC,Ivan,Chirurgie vasculaire ;,29/12/2021,VASCURISQ,,69,690023411,Libéral
10100197267,ALENDA,Olivier,Chirurgie urologique ;,23/06/2022,AFU,AFU-50,83,,Libéral
10003880506,ALESSIO,Annunziato,Gastro-entérologie (activité interventionnelle) ;,17/07/2019,CEFA-HGE,CEFA-HGE-40,69,690780663,Libéral et salarié
10003167680,ALEXANDRE,Florence,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,,63,630000826,Libéral
10003167680,ALEXANDRE,Florence,"Gynécologie-obstétrique, Gynécologie médicale et gynécologie-obstétrique ; Activités d'obstétrique ;",29/12/2021,GYNERISQ,,63,630783330,Libéral
10002095742,ALEXANDRE,Julien,Chirurgie orthopédique et traumatologie ;,29/12/2020,ORTHORISQ,,75,750300121,Libéral
